ID,"Assembly ID","Part Name","Part Description",Quantity,Supplier,"Part Number"
,"C3 C8","22pf ceramic capacitor 0805 50volts C0G 5%","22pf multilayer ceramic capacitor 0805 50volts COG 5%",2,Mouser,81-GRM2165C1H220JZ
,"C2 C4-C7 C9-C14 C21-C24 C28 C37 C41 C48 C50 C54 C61 C63-C69 C73 C78 C79 C83 C88 ","0.1uF ceramic capacitor -20+80 50V Y5V 0805",,34,Mouser,"80-C0805C104Z5V  "
,"C1 C15","100uF electrolytic capacitor 25V 20% TH","electrolytic capacitor",2,Mouser,140-REA101M1HBK0811P
,"C25-C27 C38-C40 C51-C53 C70-C72 C80-C82 ","0.22uF ceramic capacitor -20+80 50V Y5V 0805",,15,Mouser,81-GRM21F51H224ZA01L
,"C29 C30 C42 C43 C55 C56 C74 C75 C84 C85","470pF ceramic capacitor 5% 50V COG 0805",,10,Mouser,140-CC501N471J-RC
,"C31 C32 C44 C45 C57 C58 C76 C77 C86 C87","1uF ceramic capacitor -20+80 50V Y5V 0805",,10,Mouser,81-GRM21F51H105ZA12L
,"C46 C47","15pF ceramic capacitor 1% COG 0805",,2,Mouser,81-GRM2195C2A150FZ
,"Y1 Y2","16Mhz crystal SMD","a SMD crystal",2,Mouser,815-ABLS-16-B2
,F1,"PTC Resettable Fuse 1812 500ma","PTC Resettable Fuse, 1812, 0.5A Hold, 1.0A Trip, 15V",1,Digikey,MF-MSMF050-2CT-ND
,U1,"Piezoelectric Buzzer SMD","Piezoelectric Buzzer 12mm square SMD",1,Mouser,81-PKLCS1212E40A1R1
,U13,"3M SD card socket","a socket for SD cards",1,Mouser,517-SD-RSMT-2-MQ
,J1,"RJ45 Jack Vertical","a vertical RJ45 jack Type 556416-1",1,Digikey,A31428-ND
,"DS1-DS3 DS5-DS8 DS11 DS12 DS15 DS16 DS19 DS20 DS22-DS33 DS36 DS37 ","Green LED 0805","a green SMT LED",27,Mouser,645-598-8170-107F
,"DS4 DS9 DS10 DS13 DS14 DS17 DS18 DS21 DS34 DS35 DS38 DS39","Red LED 0805","a red surface mount led",12,Mouser,645-598-8110-107F
,"IC1 IC11","SN75176A SOIC","a RS485 transciever",2,Mouser,595-SN75176AD
,S1,"B3F-3120 Button","a simple right-angle pushbutton",1,Mouser,653-B3F-3120
,X1,"ATX Motherboard Header","a header that accepts the 20-pin ATX motherboard connector
Type 5566-20",1,Mouser,538-39-29-3206
,IC12,ATMEGA1280,"an awesome atmega chip that powers the arduino mega",1,Mouser,556-ATMEGA1280-16AU
,"JP2 JP4 JP7 X3",".100 breakaway header","male breakaway headers",1,Digikey,A26514-40-ND
,X2,"4 pin molex connector","molex / disk drive style polarized power connector
Molex 15-24-4745 Type 9090-4V",1,Mouser,538-15-24-4745
,IC3,"SN74LVC1G32DCKR logic OR gate","Tiny Logic ""OR"" Gate, SC70-5, SMD",1,Digikey,296-9848-1-ND
,X4,"USB B Connector","Type 61729 USB Connector TH",1,Mouser,649-61729-0010BLF
,"X5-X7 X13 X14",".156"" header","a high power header connector",1,Mouser,538-26-48-1245
,IC6,"FT232RL, CHIP","895-FT232RL chip, 5v",1,Mouser,895-FT232RL
,"IC8 IC10 IC12 IC24 IC27",A3977,"an awesome microstepping driver.  PLCC format",5,Digikey,620-1146-2-ND
,"P1-P7 P9-P10 P13-P15","SL Connector 4P","a vertical connector for the 4th generation endstop connectors
Uses no mounting holes, type 70543-4",12,Mouser,538-70543-0038
,"IC9 IC17",MAX6675,"SPI based thermocouple chip - SOIC",2,Mouser,700-MAX6675ISA
,X9,"5566-4 Molex","4 Pin Molex Power Connector, 2x2 Vertical Header",1,Mouser,538-39-29-3046
,IC14,ATMEGA328P,"atmel atmega 328p surface mount",1,Mouser,556-ATMEGA328P-AU
,IC15,"SN74LVC1G19DCKR 1 to 2 Demultiplexer","1 to 2 Demultiplexer, SC70-6, SMD",1,Mouser,595-SN74LVC1G19DCKR
,IC20,"SN74LVC2G157DCUR 2 to 1 Multiplexer","2 to 1 Multiplexer, US8, SMD",1,Digikey,296-12605-1-ND
,"IC21-IC23 IC28 IC29","SMS12 TVS Diode Array SOT23-6","Transient Voltage Suppressors, Quad, 14 Volt",5,Digikey,SMS12CT-ND
